country,GID_0,ISO_3,region,subregion,ID,ws_avg,GroundWater_GeomaticDeq50,GroundWater_RcghDeq50,GroundWater_RchgDeq50,Species_Richness_3taxa,MSpecies_Richness_9taxa,TMSpecies_Richness_8taxa,soil_biodiversity,Species_Richness_4taxa,TSpecies_Richness_4taxa,TempVelocity_terr_all,Monfreda_prod_sum_allcrops,IHME_dbl_burden_malnut,Herrero_lvstk_kg,Watson_fish_ind_nind_0004,food_prod_terr,food_prod_terr_lim,DALYS_2000,life_expectancy_SHDI_2000,ADM2_ADM1_ADM0_2010,TerrStat_hotspots_bin_sum_quant0.1,TerrStat_hotspots_sum_quant0.1
aruba,ABW,ABW,americas,caribbean,1,NA,NA,0.00120099994819611,0.00120099994819611,0.11446439474821092,2.2824412981669107,1.371993939081828,NA,0,0,0,0,NA,0,143046.828125,0,0,NA,NA,0.06141113862395286,0,0
afghanistan,AFG,AFG,asia and the pacific,south asia,2,2.5552311439544564,4.338936277382151,0.5373641313394798,0.547202591995131,0.3576667699196988,0,0,53.75509610287593,0.4848500385750005,0.13856927348769624,0.682360907261581,657.1728187885916,0.13753720896505314,67.99217244967365,NA,8.094739184283344e-4,0.01337253276814296,89946.4532644007,55.51099782295539,0.04911203720096664,1,10000
angola,AGO,AGO,africa,southern africa,3,0.4451414733108452,5.7281132151039,4.761244218009485,5.261128083894234,1.0469980860121413,0.12520577702397123,0.11643976891776343,60.59401879549711,1.3617522328847844,0.34145960682051824,0.7209558918112935,444.62545287721537,0.13999911393566555,313.91710990699534,80410.9880102885,5.850922541065138e-4,0.00956072898195357,102621.67606820572,46.67354242903887,0.08252526001606414,2,10001
anguilla,AIA,AIA,americas,caribbean,4,NA,NA,NA,NA,0.12414228171110152,2.1848714351654053,1.2298147678375244,NA,0,0,0,NA,NA,NA,34192.2265625,NA,NA,NA,NA,0.14421910047531128,NA,NA
åland islands,ALA,ALA,europe and central asia,central and western europe,5,NA,0.1707915522158146,10.853023576736453,5.944625520706177,0.28468990491496193,0.14488761126995087,0,117.25011335100446,0,0,0.6285628861710224,0,NA,79217.40959821429,89059.90617766204,0.01233549936053653,0.17040669607619444,NA,80.19199625651042,0.06946627795696259,2,1100
albania,ALB,ALB,europe and central asia,central and western europe,6,0.3366482651799135,105.79401781537268,8.580568957328797,9.857291839339515,0.593996711276673,0.42558227113343466,0.3708580486734412,117.69856853313274,0.6750274257491816,0.22562851764406447,1.0117680072712452,8153.611518392786,NA,38664.01027255588,2142.846674255982,0.01564165382835738,0.2435892037745496,25923.131242945823,75.41831852839543,0.347984001376828,2,10100
andorra,AND,AND,europe and central asia,central and western europe,7,0.04168824159673282,43.81370765822275,1.2032646877425055,3.1175312655312672,0.5444465024130685,0,0,123.25006539481026,0.616077755178724,0.24251145124435425,1.0134928481919423,1.707509530593906e-10,NA,22179.74907844407,NA,0.00321112120567639,0.04435949759532117,25110.904854910714,NA,0.08214843911784035,1,10000
united arab emirates (the),ARE,ARE,asia and the pacific,western asia,8,5.526093108022315,4.794157736115238,0.22332559545066857,0.21091285051448205,0.2120095316111187,1.115952794167896,0.4948915195249498,2.3904538898499843,0.33697597749629243,0.15543773911180628,1.0725509123476231,3865.4051370460897,NA,2206.706630838029,91212.57877384016,0.00503050127273257,0.04014338829744438,20511.77333175069,NA,0.21404526474269917,2,10100
argentina,ARG,ARG,americas,south america,9,2.9204108550638392,7.977730404525551,2.850513983466011,2.959792454797279,0.4988335907549451,0.15482119682760873,0.1126648263372063,63.39346766821119,0.6336514061872227,0.1257270369840396,0.5359474176020042,5407.048910438663,0.11619719862937929,3382.1871370994154,31165.636899947953,0.00712133527618155,0.1118704101801881,29618.92514100267,73.92636731182438,0.1571413099913251,3,10101
armenia,ARM,ARM,europe and central asia,eastern europe,10,0.7802897715418223,82.82161503821088,1.2190620395602054,1.3278102800842342,0.5562922221918901,0,0,108.60754637132612,0.7165389343311912,0.2066143739216945,0.5961432723622573,8682.264946302477,0.14300772547721863,16946.124563923186,NA,0.01335189930273892,0.21429474442797505,29984.802408854168,70.50890934258176,0.2835367294518571,2,10100
american samoa,ASM,ASM,asia and the pacific,oceania,11,NA,NA,NA,NA,0.03881270252168178,3.5507495403289795,2.4615230560302734,NA,0,0,0,0,NA,NA,8284.908203125,NA,NA,26048.216796875,NA,0.1048961579799652,0,0
antarctica,ATA,ATA,antarctica,antarctica,12,NA,NA,NA,NA,4.642229190831313e-6,0.04916948280401117,0.02454591810150501,NA,5.390693802025607e-4,1.80346811346953e-4,0.8875589334669605,NA,NA,NA,1621.9163130327852,NA,NA,NA,NA,NA,NA,NA
french southern territories (the),ATF,ATF,asia and the pacific,oceania,13,NA,NA,4.799999878741801e-4,4.799999878741801e-4,0.00730240188803025,1.3672655426611111,1.041800788068396,160.8411748712713,0.04624197952003262,0.17237680551415652,0.5998739980166956,NA,NA,NA,32695.84796688954,NA,NA,NA,NA,0.06519858539104462,NA,NA
antigua and barbuda,ATG,ATG,americas,caribbean,14,NA,NA,NA,NA,0.14571641633907953,2.2100570599238076,1.2356287240982056,191,0,0,0,0,NA,0,25494.716959635414,0,0,25520.1875,NA,0.14494989812374115,0,0
australia,AUS,AUS,asia and the pacific,oceania,15,5.653692933744863,0.7966088128661293,2.4455978648039607,3.048410445254769,0.43548261750329315,0.5303554531905857,0.26419522936128,30.13916198654076,0.8483559973071508,0.17642138895264595,0.6605039460373173,1004.013051131926,NA,2255.5555085474475,2654.596870005475,0.00155230427738203,0.02281698224983898,26278.74609375,78.71645210474914,0.10528937727212906,3,11100
austria,AUT,AUT,europe and central asia,central and western europe,16,0.0311519315869295,26.547586125304015,7.490968986032408,8.134649897680607,0.5649141601023783,0.02506670394343484,0.01384989219167071,119.34394700886226,0.607085150658133,0.08933421470726388,0.8477957351889401,12145.946100640656,NA,40074.73045646838,NA,0.02047637327524051,0.30697299959543267,30520.436918535303,78.39181804458438,0.07185596760199518,3,11100
azerbaijan,AZE,AZE,europe and central asia,eastern europe,17,1.5065749870078744,32.05408478592058,1.337295053946851,1.5911673648804086,0.5896362151515321,0,0,66.64125842885579,0.6816011824551262,0.2166396402866488,0.514493238559623,4965.630152363086,0.1436444131391389,29256.594015583814,NA,0.01032104098720494,0.15923110508485394,36346.00902171851,64.4250051078598,0.23049947568445608,2,10100
burundi,BDI,BDI,africa,central africa,18,0.04639363340652598,18.876394608081917,4.491144714264062,4.928808553531147,1.3607686002033588,0,0,107.84977929356,1.6542234276049437,0.5415120986513436,0.9194345030540856,12776.080206045584,0.10407288967057912,3295.038616012315,NA,0.01685521208584482,0.2776785737041668,119372.44249201278,48.08351883568322,0.0750052682317484,3,10101
belgium,BEL,BEL,europe and central asia,central and western europe,19,0.5749218751606828,4.993418393583174,13.366525885131624,13.65841319836596,0.5091529472065823,0.1563467288146788,0.09812179757137106,119.40836956841603,0.5135189642599423,0.06408813108659582,0.540977331623435,13501.902516187954,NA,225313.16361629684,314.63017541013267,0.04894413630924517,0.7035314299072569,31780.286021205357,77.43603955677577,0.06693184958504779,2,10100
benin,BEN,BEN,africa,west africa,20,1.9884345686568647,1.8059555127271112,3.699791494607054,4.419786884127173,1.1353074977969566,0.10458051342835084,0.06108063315610967,52.38246499167549,1.4718823540977568,0.41865933869491545,1.047115201455772,3648.17734742862,0.1452242776054388,1244.4304139970163,167259.42238451086,0.00459227766030156,0.07552389996733552,83246.46105742872,55.80299767282817,0.13595604315421908,1,10000
"bonaire, sint eustatius and saba",BES,BES,americas,caribbean,21,NA,NA,2.207292079925537,13.43350887298584,0.1163559127599001,2.1928391456604004,1.3113863468170166,NA,0,0,0,0,NA,0,462.0355072021485,0,0,NA,NA,0.06141113862395286,0,0
burkina faso,BFA,BFA,africa,west africa,22,3.2200184612874403,0.1558504012415315,1.5807880258800566,2.116970757142579,0.9542654695002412,0,0,43.66095297364988,1.2265654574320508,0.41596758179878773,1.106294678805838,1068.0910702962385,0.22447933259358616,1735.3045433690943,NA,0.00154171936191557,0.02483243051064061,105157.9969112817,50.93404545421233,0.10006967972619175,0,0
bangladesh,BGD,BGD,asia and the pacific,south asia,23,1.8539018474501037,0.65063318844056794,10.21063305170907,10.79873662972013,0.7555167620587914,1.4153241130072602,0.9635330540513292,191.29257147589396,1.1533294945850356,0.9648499029728772,0.4923444616342275,29486.980548424017,0.14920452885060628,68715.15454859166,882147.0737732806,0.04643839597197426,0.7411586554312476,44271.764127530434,65.98524607942437,0.02938385423820747,2,101
bulgaria,BGR,BGR,europe and central asia,central and western europe,24,0.6637314063520475,10.869196329896202,3.419706562075429,3.964487614187063,0.615142228290186,0.02775665025000632,0.0360299387338712,83.40956865185686,0.6915043832945384,0.27125762338207077,1.0097578554739637,6413.942477497347,NA,16762.96721758532,2096.382618918138,0.01019178789969527,0.16205416520068583,46975.685302872385,71.53032405286135,0.2033143157552405,2,10100
bahrain,BHR,BHR,asia and the pacific,western asia,25,NA,13.419995307922363,0.01892167776823044,0.01825799979269504,0.09571399465203284,1.6041429042816162,0.8078626990318298,1.000016689300537,0,0,0.4989872063128133,8981.343750004084,NA,NA,82824.290625,NA,NA,22541.341796875,NA,0.1011556312441826,0,0
bahamas (the),BHS,BHS,americas,caribbean,26,7.5,9.020550207260552,10.28526486248535,7.9612936860648915,0.2251599117946089,2.2112776951843434,1.372562502207381,92.32172247845192,0.10853393633517576,0.10175235592272695,0.466804802633115,0,NA,761.8129048493714,13119.149009008086,1.1912522612758506e-4,0.00164563554225668,30497.9921875,NA,0.1812947988510132,0,0
bosnia and herzegovina,BIH,BIH,europe and central asia,central and western europe,27,0.00556083990959009,92.8999549542697,10.79286823550669,11.780626139961756,0.5704374662242256,0.25725046114994454,0.2205235376681626,113.96313820435452,0.642688415261467,0.19964172714946488,0.7156962265905279,4273.081553688418,NA,12786.52287527231,7721.818782983824,0.00701401071406647,0.11103467690722588,29242.912099984977,74.4789995780358,0.3081121490551875,2,10100
saint barthélemy,BLM,BLM,americas,caribbean,28,NA,NA,NA,NA,0.05851395626086742,2.181045174598694,1.2298147678375244,NA,0,0,0,NA,NA,NA,25219.5478515625,NA,NA,NA,NA,NA,NA,NA
belarus,BLR,BLR,europe and central asia,eastern europe,29,0.02977717423227982,8.16100843681281,3.905201147892052,4.81016278646798,0.6127269224745954,0,0,105.42479647006913,0.5895603713487448,0.13837993932563974,0.869006777263206,6861.015426733757,NA,34579.5950459729,NA,0.01330154600933367,0.2064723239646006,44580.707896839485,69.17720387198709,0.20220023457682415,2,10100
belize,BLZ,BLZ,americas,mesoamerica,30,0.23790356350859548,36.00567540295165,15.874296264601622,14.940863531417842,1.1368577782926497,1.1845661735440909,0.7544196264642873,215.11580184818237,1.4249264564897108,0.343141093515401,0.8461205123364122,5973.347649677916,0.102050320592834,725.1451925765302,65478.60056569317,0.00734922276071876,0.10058730839227792,29725.4395409059,67.47794344898466,0.16277318578980834,2,10100
bermuda,BMU,BMU,americas,caribbean,31,NA,NA,NA,NA,0.00666675111278891,1.6456806659698486,1.8219157457351685,93,0,0,0,NA,NA,NA,6227.3193359375,NA,NA,26993.189453125,NA,NA,NA,NA
bolivia (plurinational state of),BOL,BOL,americas,south america,32,0.6280226147330021,4.965437713291199,6.860622077563746,7.253918495959408,1.326057946220415,0,0,74.34236368928748,1.7135091364914796,0.32962641303647566,0.8563730320968828,754.9115810549821,0.12257592407953331,1296.1678347882903,NA,0.00109977359765866,0.01769084785564107,43761.143781738465,63.63740585120902,0.18122134088371705,2,10001
brazil,BRA,BRA,americas,south america,33,0.2794365692816921,5.954699736830731,15.651568871680936,16.12004449989587,1.7020731076878453,0.11192268432858156,0.09362072554550714,126.00464804032048,2.2949227388084203,0.4640818118814853,0.6806232553015478,4919.854902459477,0.0710115875319477,4653.6507218389725,27974.267386239004,0.00663853165744305,0.0699794252593448,32533.473954081743,69.81209504480738,0.19926256661359645,3,10101
barbados,BRB,BRB,americas,caribbean,34,NA,NA,54.24980545043945,25.258743286132813,0.17094866931438446,2.23595913251241,1.2298147678375244,181,0,0,0.410625234246254,0,NA,0,4566.304768880208,0,0,31336.369140625,74.08899688720703,0.15614263713359833,0,0
brunei darussalam,BRN,BRN,asia and the pacific,south-east asia,35,3.907436598794824e-4,18.5909592639054,26.825063205534413,27.280414050625215,1.3472694046795368,5.453750297427177,3.041335079818964,282.8464887065272,2.2031778832897544,2.0537413135170937,0.9914974325802176,285.73370444390287,0.13710761864980062,12559.341824390847,91422.6056780134,0.00220563784892812,0.03140788289355272,20159.03087797619,72.7760009765625,0.07012270507402718,2,10001
bhutan,BTN,BTN,asia and the pacific,south asia,36,0.4658838382625699,23.908539461687145,3.867483449942471,4.421856966023361,0.9167301891946136,0,0,147.24576760462554,1.2525067212305274,0.8317983130574929,0.931894683943282,534.1442349839919,0.06246664301146459,4714.3789751556305,NA,0.00132973995572008,0.02018647661219295,46390.07003622298,66.28600311279297,0.10643042264667552,2,10001
bouvet island,BVT,BVT,americas,south america,37,NA,NA,NA,NA,0.00266664638184011,1.0657862424850464,0.7941176891326904,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
botswana,BWA,BWA,africa,southern africa,38,5.740175073854608,0.6279454515879885,1.4089050856586889,1.6752751436808544,0.8081809488196452,0,0,28.111097366642323,1.0968918560008745,0.4822783626492522,0.7246401579620707,25.118499496761657,0.2060375976154249,209.93819358763344,NA,6.16704394206814e-5,9.376005356492696e-4,92681.6266607314,49.487595550198535,0.18041209859597224,1,10000
central african republic (the),CAF,CAF,africa,central africa,39,2.47758539170422,1.0204916494929734,7.108864226437529,7.43470851335519,1.055840949666247,0,0,91.40814046004633,1.4963104175999098,0.40704541294685703,0.5628986296263727,243.60879175198107,0.1244802721472002,275.0217719427886,NA,3.3414940692406454e-4,0.00542221937623727,127091.477629834,45.29784294182735,0.09702064080659777,2,10001
canada,CAN,CAN,americas,north america,40,0.14653689549229898,8.205622344385528,6.66612738895607,6.294649369620795,0.2511153431809681,0.09244138004760748,0.05663916796089703,98.79888144176525,0.24742624845652125,0.12905101931617116,0.7103387012440779,691.1426886178389,NA,977.9759024077453,5447.3192963258,0.00101711443596683,0.01640612914881999,25762.04585342444,78.74386457421912,0.09682725919906456,3,11100
cocos (keeling) islands (the),CCK,CCK,asia and the pacific,south-east asia,41,NA,NA,NA,NA,0.00237036412581801,2.17494797706604,1.405093550682068,NA,0,0,0,NA,NA,NA,8055.9205078125,NA,NA,NA,NA,NA,NA,NA
switzerland,CHE,CHE,europe and central asia,central and western europe,42,0.00832096297618177,54.94440582612204,10.859645078907397,11.574466189489817,0.5590198169137689,0,0,127.1299784738501,0.609029786231015,0.08327120328201797,0.6761283050565159,14798.482033422044,NA,95516.7902874234,NA,0.03173413241583489,0.4300450600030202,28548.575146274212,79.87363213822353,0.08835423305908612,3,11100
chile,CHL,CHL,americas,south america,43,1.9536830349233825,22.830484849324943,4.323906772756016,4.6026474008393,0.22129908262353104,0.8112239643927103,0.6433079964339254,71.94457751862686,0.2522046445654017,0.17030301568800238,0.7120431535287555,2415.0838176767024,0.17015895175819212,1716.14932830855,96211.15551884843,0.00339906282099296,0.05544497481713716,23969.387398942785,76.53980170943335,0.2015206922376495,2,10100
china,CHN,CHN,asia and the pacific,north-east asia,44,1.8455936910552528,15.240959092536508,3.006478326049925,3.219022314177084,0.5027198369903886,0.09316270514015793,0.07300452266977456,111.75516576694282,0.6101997291205279,0.293054094304125,0.7081564135288919,8642.74983750765,0.11622208969176384,10224.362763604946,289078.344668635,0.01201579243533292,0.1806177673064983,29008.93345529771,69.21014620386785,0.19865988469402787,3,10101
côte d'ivoire,CIV,CIV,africa,west africa,45,2.0196553624012745,0.4767898011660035,6.212024669782339,6.751897987847331,1.3374603610586688,0.1293302711862763,0.11637021642807178,79.66356582029618,1.6822182152817748,0.6075702864955969,0.9158011569133988,3670.708216502683,0.12126508981407098,826.6248357793869,74594.72545890498,0.0045716655373487,0.0753477565156562,94581.77142889434,51.035888248465675,0.09518043138478932,2,10000
cameroon,CMR,CMR,africa,central africa,46,1.177597498272309,4.481178716773052,10.777088389073205,11.10293389771498,1.429457634567845,0.06885932456820691,0.06203021830530548,106.50384226128848,1.9715625736445752,0.5066718368499604,0.7999080634573125,1882.6614028790327,0.13562209136433975,932.517741524811,223734.9158815374,0.00240892843836843,0.03937448931629353,83527.16306509894,52.55981728857048,0.20330199020577536,3,10101
congo (the democratic republic of the),COD,COD,africa,central africa,47,0.2655497562063721,7.431579570014396,12.032577667947717,12.53911343381823,1.2072069219015558,0.00169049718333007,0.00156661813845977,85.39286660775079,1.646346672806216,0.406730767398565,0.6534705798785909,876.195862240295,0.18957620716048756,67.0797215188767,40378.78935773983,0.00107829612885913,0.01780393709189674,95053.33934772278,51.16488887824794,0.10941110940418934,3,10101
congo (the),COG,COG,africa,central africa,48,0.29326092476986443,13.149184944059249,17.416738663873385,17.96036326608131,1.3031541246783127,0.05327562505442586,0.04937242109935124,94.82901823937476,1.8648315229258805,0.4357199876249242,0.8098476788217014,384.73523948494824,0.1110430766816941,34.71310699058965,216864.32570306183,4.699332283453314e-4,0.00776518231883924,79182.85437386803,52.02677879457381,0.13015798043134866,2,10001
cook islands (the),COK,COK,asia and the pacific,oceania,49,NA,NA,NA,NA,0.01580209129800399,2.772585391998291,2.0308587551116943,177,0,0,0,0,NA,NA,1935.7029622395833,NA,NA,28542.43359375,NA,0.15046671032905579,0,0
colombia,COL,COL,americas,south america,50,0.5201893914590717,10.147144832385298,21.15449137112035,21.42270694057401,1.6259291814669508,0.20260746888612105,0.15290704836789323,181.52109067067536,2.123570156718191,0.41897073306593374,0.7485032991481719,3576.084208550669,0.07975884285819482,7938.590342824547,5670.31897475143,0.00547442702459702,0.08607107686758418,28939.33853013602,71.33521393566596,0.1177684634988898,3,10101
comoros (the),COM,COM,africa,east africa and adjacent islands,51,NA,72.9358872633714,30.622435936560997,9.41533374786377,0.08463119715452194,3.5366892563669303,2.2512324232804146,130.32344773236443,0,0,0.5896975303115763,0,0.32731296671064275,NA,171983.12006578947,NA,NA,62240.7734375,58.21811103820801,0.22351603209972384,1,10000
cabo verde,CPV,CPV,africa,west africa,52,NA,NA,NA,NA,0.04665355888816217,1.644988335669041,1.3031106119354563,25.56401184277657,0.0231605094547073,0.05732735805213451,0.30603256173412774,0,0.11707868333905937,NA,23678.247550964355,NA,NA,35237.4375,68.61799621582031,0.12254000424096982,0,0
costa rica,CRI,CRI,americas,mesoamerica,53,0.887880766439871,42.85117586575613,17.18701319500222,16.732600880397804,1.4478358355883196,2.10160372354217,1.877370400982276,256.82227057585504,1.9659389376118872,0.5187461228698284,0.5637093829054706,15384.850472725488,0.09882174150263968,6349.64784551875,34086.99359253833,0.01974355998784037,0.26433843872219415,20207.62019628099,77.58597278437338,0.3188015783505258,3,10101
cuba,CUB,CUB,americas,caribbean,54,3.057967409057796,25.49010423472378,5.762842878961237,5.091124826643798,0.4475097006746714,2.1873192210073418,1.363695135609263,97.86482155919074,0.562946888158413,0.47597666330611765,0.9636334851196884,29146.958823635476,0.136639486995626,12521.61476696643,2864.1664332908435,0.03801960641996389,0.6090063586409155,26435.73828125,76.18299865722656,0.1944707709982265,2,10100
curaçao,CUW,CUW,americas,caribbean,55,NA,NA,4.762770175933838,1.804805040359497,0.13164023806651434,2.205490469932556,1.3113863468170166,32,0,0,0,0,NA,0,6299.3332112630205,0,0,NA,NA,0.06141113862395286,0,0
christmas island,CXR,CXR,asia and the pacific,south-east asia,56,NA,NA,NA,NA,0.02651463821530342,2.473097085952759,1.718946933746338,NA,0,0,0,0,NA,NA,1987.46435546875,NA,NA,NA,NA,0.10528937727212906,0,0
cayman islands (the),CYM,CYM,americas,caribbean,57,NA,NA,NA,NA,0.20414250095685324,1.9413511753082275,1.2687758207321167,81,0,0,0,0,NA,NA,30530.615234375,NA,NA,NA,NA,0.14421910047531128,0,0
cyprus,CYP,CYP,europe and central asia,central and western europe,58,2.3269163568814597,13.08511975636849,2.038392171645776,2.0603954455791373,0.3213558534541762,0.6742880502379084,0.6618109302348402,54.74992327622965,0.30862711119170194,0.2248011707583006,0.7918596965675249,1981.336257199207,NA,21037.254079965445,925.2888597695224,0.00553942110780507,0.08335359759318332,25767.541015625,NA,0.07570789331271324,1,10000
czechia,CZE,CZE,europe and central asia,central and western europe,59,0.06415178727663544,2.212514547487864,3.8874969194178526,4.561626732517651,0.6060651688821398,0,0,96.1921435553336,0.6211998841252727,0.09384577114321686,0.5860657262482438,21562.094934897865,NA,36370.67717752073,NA,0.0313151266348128,0.501467111968347,33802.76075803855,74.9223076948921,0.19175004723022415,1,100
germany,DEU,DEU,europe and central asia,central and western europe,60,0.17564887040102942,11.514077242071243,9.464880919776393,10.017227234137318,0.5527151267884846,0.096021042222759,0.04195665296546274,104.75885978702192,0.5621862068197055,0.06550605062163764,0.5357712667109904,27440.425959561497,NA,88554.58826784314,14144.675006306568,0.04610197464344809,0.6947263887057687,31870.643197112655,77.89314810699847,0.07402324912848078,3,11100
djibouti,DJI,DJI,africa,east africa and adjacent islands,61,6.756160938093815,36.28495709481649,0.7122147536842931,0.1516808577816846,0.549660085596173,2.314852474956473,1.322548091215749,9.281945510864258,0.6932312310520192,0.4303863446136793,0.5632702784066053,22.481616766877877,0.3170579672439553,1456.0837299589682,8201.824849626659,2.401925284098165e-4,0.00339644505625663,65031.41453004344,61.75708872379023,0.1821432552018831,1,10000
dominica,DMA,DMA,americas,caribbean,62,NA,NA,NA,NA,0.2056094780564308,2.1995486974716187,1.2356287240982056,358,0.03228665337273924,0.1253057997702854,0.4832495048813143,0,NA,NA,92365.796875,NA,NA,33698.16796875,NA,0.18611595034599304,0,0
denmark,DNK,DNK,europe and central asia,central and western europe,63,0.16411776245456108,7.453781542354604,17.471105973895003,18.07699087625597,0.4000703997715953,0.6558134468063492,0.3799073209966146,122.64483469063894,0.3359471785187556,0.05027367276237669,0.8661880453717917,38294.99316155541,NA,178105.7906333502,10020.643382939475,0.07362726702288995,1.1156561569363523,32621.062345096983,76.91871397522674,0.0808672788574802,2,10100
dominican republic (the),DOM,DOM,americas,caribbean,64,2.264725192686764,114.65600168051785,6.632205031301877,5.669237827142216,0.3705922594862483,1.794812898045664,1.1206353476989943,101.43211046964085,0.473544416118848,0.5120256214308769,0.5883088547891747,13092.707105701484,0.08947123164805866,16491.77493420217,12731.916978344474,0.0184587384165498,0.2990134495398155,31830.55689509306,68.73948497094479,0.14088816287755562,2,10100
